,SETTLEMENTDATE,WIND_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,SOLAR_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,ROOFTOP_PV_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,HYDRO_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,OTHER_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,BLACK_COAL_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,BROWN_COAL_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,GAS_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,NETINTERCHANGE_IMPORT_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,COAL_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,COAL_GAS_OTHER_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,WIND_SOLAR_ROOFTOP_PV_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,WIND_SOLAR_HYDRO_ROOFTOP_PV_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,CURTAILMENT_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,DEMAND_AND_NONSCHEDGEN:REGIONAL_ENERGY_SOURCES1:SA1,DEMAND_AND_NONSCHEDGEN_AND_ROOFTOP_PV:REGIONAL_ENERGY_SOURCES1:SA1
136,2022-03-29 11:20:00,2.36454060676,18.2532581588,62.0662731166,0.0,-0.00530728130918,0.0,0.0,13.0939959917,4.07009734734,0.0,13.0886887104,82.6840718822,82.6840718822,0.0,652.78,1720.84338379
137,2022-03-29 11:25:00,2.32912639854,18.2215576796,63.991254168100006,0.0,0.559746989244,0.0,0.0,13.4123082045,2.35588395187,0.0,13.972055193800001,84.5419382462,84.5419382462,0.0,608.48,1689.81164551
138,2022-03-29 11:30:00,2.56713020404,18.1634143472,63.67433231770001,0.0,0.76254874178,0.0,0.0,13.340846656199998,0.890603029642,0.0,14.103395398,84.40487686899999,84.40487686899999,0.0,624.46,1719.05999756
139,2022-03-29 11:35:00,2.81422616138,18.5324233171,64.8763132601,0.0,0.0005095329443980001,0.0,0.0,14.3261754326,0.730506850266,0.0,14.3266849655,86.2229627386,86.2229627386,0.0,597.65,1701.55834961
140,2022-03-29 11:40:00,3.247564594,18.100752266,65.6824412583,0.0,0.133266921866,0.0,0.0,13.3530569748,0.201198145337,0.0,13.4863238966,87.0307581184,87.0307581184,0.0,581.63,1694.84667969
141,2022-03-29 11:45:00,3.0644305434500003,17.8209813952,63.8692829778,0.0,0.70033711714,0.0,0.0,13.239717456800001,2.96324117689,0.0,13.940054573900001,84.7546949164,84.7546949164,0.0,635.01,1757.53503418
142,2022-03-29 11:50:00,2.87437897501,17.7062160294,66.5266461275,0.0,0.00050960332066,0.0,0.0,12.7314303096,0.0,0.0,12.7319399129,87.10724113190001,87.10724113190001,0.0,569.49,1701.32336426
143,2022-03-29 11:55:00,3.6654341603699994,18.2424656855,66.4493067441,0.0,0.000771554765435,0.0,0.0,12.3393484285,0.0,0.0,12.3401199832,88.35720659,88.35720659,0.0,576.17,1717.31170654
144,2022-03-29 12:00:00,4.19365363484,17.9429080449,67.2019298167,0.0,0.000506445982349,0.0,0.0,12.3973519213,0.0,0.0,12.3978583673,89.3384914964,89.3384914964,0.0,561.48,1711.92993164
145,2022-03-29 12:05:00,4.71994401169,16.6543392241,66.6124669034,0.0,0.271625863748,0.0,0.0,12.7158960847,0.0,0.0,12.9875219484,87.9867501392,87.9867501392,0.0,580.09,1737.44500732
146,2022-03-29 12:10:00,4.90720395624,17.9060276219,66.9576729894,0.0,0.414577314071,0.0,0.0,12.840689676199998,0.0,0.0,13.255266990299999,89.7709045675,89.7709045675,0.0,574.54,1738.79998779
147,2022-03-29 12:15:00,5.03500635558,18.3223728355,68.79716022470001,0.0,0.000957502735723,0.0,0.0,12.841274499999999,0.0,0.0,12.8422320027,92.1545394158,92.1545394158,0.0,531.18,1702.34503174
148,2022-03-29 12:20:00,5.477812387949999,18.2349880541,68.9700173798,0.0,0.105888447849,0.0,0.0,13.014373665399999,0.0,0.0,13.120262113299999,92.6828178219,92.6828178219,0.0,530.02,1708.08996582
149,2022-03-29 12:25:00,5.27851409807,17.9627555556,68.8832829557,0.0,0.000503992151977,0.0,0.0,12.2791537331,0.0,0.0,12.2796577253,92.1245526094,92.1245526094,0.0,535.29,1720.26495361
150,2022-03-29 12:30:00,5.11878875199,15.653282676099998,68.4905838855,0.0,0.37401634964599995,0.0,0.0,12.6956918344,0.0,0.0,13.069708184000001,89.2626553135,89.2626553135,0.0,548.33,1740.21002197
151,2022-03-29 12:35:00,5.57681584105,17.9359619625,68.8876913479,0.0,0.000500192316686,0.0,0.0,12.1478573808,0.0,0.0,12.1483575732,92.40046915139999,92.40046915139999,0.0,539.28,1733.33337402
152,2022-03-29 12:40:00,6.26554706451,16.5605696541,65.0474343324,0.0,0.000471450174382,0.0,0.0,11.5592936954,0.21968380710000002,0.0,11.5597651456,87.8735510509,87.8735510509,0.0,642.78,1839.00671387
153,2022-03-29 12:45:00,7.815803642460001,17.305370071400002,68.8743546379,0.0,0.000498281598214,0.0,0.0,12.486057779300001,0.0,0.0,12.4865560609,93.9955283518,93.9955283518,0.0,541.58,1739.9800415
154,2022-03-29 12:50:00,8.4374304536,18.155124766900002,69.1668799613,0.0,0.331765844979,0.0,0.0,12.594043788199999,0.0,0.0,12.9258096332,95.7594351819,95.7594351819,1.7581646617599999e-06,535.19,1735.7633667
155,2022-03-29 12:55:00,8.90473780551,17.3943277997,69.521054532,0.0,0.000501142564535,0.0,0.0,12.287309246,0.0,0.0,12.287810388599999,95.82012013719999,95.82012013719999,0.0,527.3,1730.04669189
156,2022-03-29 13:00:00,8.8030324762,16.509004165,68.1303899058,0.0,0.00256085490861,0.0,0.0,12.000450788,0.0,0.0,12.003011642899999,93.44242654690001,93.44242654690001,0.0,563.63,1768.55004883
157,2022-03-29 13:05:00,9.26670979048,17.562827573699998,69.51652828520001,0.0,0.00261076088348,0.0,0.0,12.523309819300001,0.0,0.0,12.5259205802,96.3460656494,96.3460656494,0.0,528.81,1734.74334717
158,2022-03-29 13:10:00,10.2854615765,17.2456672286,66.8269892358,0.0,0.0025076455355300003,0.0,0.0,11.955106932,0.0,0.0,11.9576145776,94.3581180409,94.3581180409,0.0,599.13,1806.07666016
159,2022-03-29 13:15:00,11.8706801965,17.3897108295,68.16391439479999,0.0,0.00255566726795,0.0,0.0,12.0145741958,0.0,0.0,12.0171298631,97.4243054209,97.4243054209,0.0,564.18,1772.13995361
160,2022-03-29 13:20:00,14.0389492655,15.9899302183,69.107358776,0.0,0.00258886784375,0.0,0.0,12.074560498099999,0.0,0.0,12.077149365899999,99.1362382598,99.1362382598,0.0,540.44,1749.41339111
161,2022-03-29 13:25:00,14.6645695698,16.7158139514,67.1533327875,0.0,0.679604185352,0.0,0.0,12.317593781700001,0.0,0.0,12.9971979671,98.53371630870001,98.53371630870001,0.0,591.84,1801.82672119
162,2022-03-29 13:30:00,15.594000167899999,16.0986794893,67.10554040609999,0.0,0.00250966967335,0.0,0.0,11.9647569339,0.0,0.0,11.967266603599999,98.7982200633,98.7982200633,3.3821611428e-06,593.62,1804.61999512
163,2022-03-29 13:35:00,16.0581094877,16.7320977634,67.53009547810001,0.0,0.0025369825546100004,0.0,0.0,12.3955265521,0.0,0.0,12.3980635346,100.32030272899999,100.32030272899999,0.0,579.65,1785.19165039
164,2022-03-29 13:40:00,16.8022978179,16.3093270765,67.0522530843,0.0,0.0025304880121799996,0.0,0.0,11.6897848688,0.0,0.0,11.6923153569,100.16387797899999,100.16387797899999,0.0,589.69,1789.77337646
165,2022-03-29 13:45:00,18.7995332159,16.7542719812,65.649015498,0.0,0.0024888512799199998,0.0,0.0,11.7003322677,0.0,0.0,11.702821119000001,101.202820695,101.202820695,0.0,625.09,1819.71502686
166,2022-03-29 13:50:00,18.0527274874,15.5260174528,64.9488954261,0.0,0.0024736108947600003,0.0,0.0,11.8474651994,0.0,0.0,11.8499388103,98.52764036629999,98.52764036629999,0.0,641.76,1830.92663574
167,2022-03-29 13:55:00,19.9472198309,17.0920113815,66.3038541435,0.0,0.00518630603763,0.0,0.0,12.3567730818,0.0,0.0,12.361959387899999,103.343085356,103.343085356,-3.41880330192e-06,601.57,1785.27838135
168,2022-03-29 14:00:00,19.3051067116,15.4453674082,63.3454126749,0.0,0.432533176479,0.0,0.0,11.752408006700001,0.0,0.0,12.1849411831,98.0958867947,98.0958867947,0.0,681.79,1860.03997803
169,2022-03-29 14:05:00,18.977950134500002,16.379503591600002,62.5112332812,0.0,0.00243007094187,0.0,0.0,11.6749369641,0.0,0.0,11.677367035,97.8686870073,97.8686870073,0.0,698.69,1863.73162842
170,2022-03-29 14:10:00,20.9475959635,16.6769726688,62.668323065500005,0.0,0.0024641137006599996,0.0,0.0,11.801977982,0.0,0.0,11.804442095699999,100.29289169799999,100.29289169799999,0.0,686.15,1837.98339844
171,2022-03-29 14:15:00,22.9682017411,17.1173366445,64.0031135558,0.0,0.00460479519599,0.0,0.0,12.231325784300001,0.0,0.0,12.2359305794,104.08865194100001,104.08865194100001,0.0,640.39,1779.01501465
172,2022-03-29 14:20:00,23.465377293099998,16.5544215442,60.6031501709,0.0,1.18314026448,0.0,0.0,11.6444025746,0.0,0.0,12.827542839100001,100.62294900799999,100.62294900799999,0.0,731.61,1857.02661133
173,2022-03-29 14:25:00,24.612840254,16.279800450699998,62.2559847911,0.0,0.00458548080051,0.0,0.0,12.422836498299999,0.0,0.0,12.4274219791,103.14862549600001,103.14862549600001,0.0,674.3,1786.50836182
174,2022-03-29 14:30:00,25.0430837185,16.9345052364,60.380302343900006,0.0,0.0045007772912200004,0.0,0.0,11.5316910795,0.0,0.0,11.5361918568,102.357891299,102.357891299,0.884721878971,721.13,1820.13000488
175,2022-03-29 14:35:00,24.0403073182,15.435109657,56.8435588319,0.0,1.6201661412700001,0.0,0.0,11.3452506787,0.0,0.0,12.96541682,96.31897580709999,96.31897580709999,0.0,817.52,1894.31750488
176,2022-03-29 14:40:00,27.1714891509,16.8602548159,57.576385959,0.0,1.8467590935099998,0.0,0.0,11.807557803599998,0.0,0.0,13.654316897100001,101.608129926,101.608129926,0.948370943487,777.05,1831.6449585
177,2022-03-29 14:45:00,24.6179555602,16.3143120171,54.5073548614,0.0,2.127867297,0.0,0.0,11.453195624700001,0.0,0.0,13.581062921700001,95.43962243870001,95.43962243870001,0.0,861.65,1894.04248047
178,2022-03-29 14:50:00,28.0992979821,17.327232282,56.6465916545,0.0,1.5497627910799998,0.0,0.0,12.2768779018,0.0,0.0,13.8266406929,102.073121919,102.073121919,0.325036882337,773.13,1783.32000732
179,2022-03-29 14:55:00,30.168433978699998,17.0197072253,54.411264948,0.0,2.11384714099,0.0,0.0,12.0383415321,0.0,0.0,14.1521886731,101.59940615200001,101.59940615200001,1.7236376651599998,827.79,1815.77746582
180,2022-03-29 15:00:00,27.296818874099998,16.2977948172,50.8386826105,0.0,1.4554771070399999,0.0,0.0,11.0664896244,0.0,0.0,12.521966731400001,94.4332963017,94.4332963017,0.0,933.92,1899.70495605
181,2022-03-29 15:05:00,31.3674746334,16.5883671206,50.84337739,0.0,0.75621697506,0.0,0.0,11.3942449025,0.0,0.0,12.1504618776,98.79921914399999,98.79921914399999,0.0,918.54,1868.59863281
182,2022-03-29 15:10:00,33.0802560808,16.4399691444,49.5033496356,0.0,0.752084704061,0.0,0.0,11.351376583699999,0.0,0.0,12.1034612878,99.0235748607,99.0235748607,0.0,953.08,1887.41235352
183,2022-03-29 15:15:00,31.560800874899996,16.4849786813,48.738981386400006,0.0,0.7862565540270001,0.0,0.0,11.8463658576,0.0,0.0,12.6326224117,96.7847609426,96.7847609426,0.0,966.14,1884.74603271
184,2022-03-29 15:20:00,32.724541640300004,15.816103146600001,46.0913987366,0.0,1.55097658947,0.0,0.0,11.278414883499998,0.0,0.0,12.8293914729,94.6320435235,94.6320435235,0.0,1056.01,1958.88964844
185,2022-03-29 15:25:00,34.1423319569,15.930225796099998,45.739375383100004,0.0,1.56847708553,0.0,0.0,11.4949944827,0.0,0.0,13.063471568199999,95.81193313620001,95.81193313620001,0.0,1052.43,1939.58337402
186,2022-03-29 15:30:00,34.9848395101,16.657193742,47.3065068986,0.0,1.6352062604299997,0.0,0.0,11.6671144686,0.0,0.0,13.302320729000002,98.9485401507,98.9485401507,0.0,970.66,1842.0869750999998
187,2022-03-29 15:35:00,33.888970504,17.5142687886,49.340977013599996,0.0,1.70019164884,0.0,0.0,12.184900233099999,0.0,0.0,13.885091882000001,100.744216306,100.744216306,0.535328755542,887.98,1752.85650635
188,2022-03-29 15:40:00,32.7019905137,16.5300914633,47.1228113596,0.0,1.63560119444,0.0,0.0,11.68908473,0.0,0.0,13.3246859244,96.3548933366,96.3548933366,0.0,963.14,1821.46600342
189,2022-03-29 15:45:00,31.7504427765,16.4555277347,46.6607287638,0.0,1.59154746754,0.0,0.0,11.9196715026,0.0,0.0,13.5112189702,94.8666992751,94.8666992751,0.0,973.69,1825.46551514
190,2022-03-29 15:50:00,32.0277705204,16.7888146707,46.9816086238,0.0,1.6250926779799997,0.0,0.0,12.318288983399999,0.0,0.0,13.943381661400002,95.7981938149,95.7981938149,0.0,953.83,1799.05499268
191,2022-03-29 15:55:00,31.046793806799997,16.0724434464,46.2912474685,0.0,1.5821639404299999,0.0,0.0,11.733296875299999,0.0,0.0,13.3154608158,93.4104847218,93.4104847218,0.0,973.06,1811.73449707
192,2022-03-29 16:00:00,30.7508299465,14.710378631,46.2652508653,0.0,2.9607688444700004,0.0,0.0,12.4516707251,0.0,0.0,15.4124395695,91.7264594428,91.7264594428,3.3934927198e-06,966.47,1798.59399414
193,2022-03-29 16:05:00,28.691906312199997,12.759941807,43.0026085152,0.0,1.6717843776199999,0.0,0.0,11.7814931081,3.21558210111,0.0,13.4532774857,84.45445663439999,84.45445663439999,0.0,1068.84,1875.24365234
194,2022-03-29 16:10:00,28.5529080877,12.737877757,42.1384358904,0.0,1.5650815141999999,0.0,0.0,12.323240968699999,2.60165999836,0.0,13.8883224829,83.4292217351,83.4292217351,0.0,1071.98,1852.66333008
195,2022-03-29 16:15:00,30.1735682455,14.243546413699999,40.4961601487,0.0,1.5295548372299999,0.0,0.0,12.1206924854,2.32904548956,0.0,13.6502473227,84.9132748078,84.9132748078,0.0,1109.32,1864.28295898
196,2022-03-29 16:20:00,30.8774846649,15.9932419617,39.3433938307,0.0,1.5546064841299998,0.0,0.0,11.6859441825,1.1302741297799999,0.0,13.2405506667,86.2141204573,86.2141204573,0.0,1124.29,1853.53271484
